text,label
"Send bank details for prize delivery","scam"
"Cafeteria menu updated","safe"
"Your access badge ready for pickup","safe"
"Team building survey","safe"
"Transfer money for emergency bail","scam"
"Your LinkedIn profile needs verification","scam"
"Pay for premium job listing service","scam"
"Parking lot closure notice","safe"
"Your evaluation form is due","safe"
"Summer program information session","safe"
"Send payment to recover your data","scam"
"Your Zoom account will be closed","scam"
"Pay to expedite your application","scam"
"Equipment checkout available","safe"
"Your direct deposit information updated","safe"
"New semester orientation dates","safe"
"Urgent wire transfer needed immediately","scam"
"Your account overdrawn. Send money now","scam"
"Pay fee to join exclusive investment club","scam"
"Research symposium call for papers","safe"
"Your timesheet reminder","safe"
"Building access hours extended","safe"
"Send money to claim sweepstakes prize","scam"
"Your Twitter account suspended","scam"
"Pay for expedited shipping immediately","scam"
"Guest wifi password updated","safe"
"Your benefits enrollment deadline","safe"
"Final exam schedule published","safe"
